,price,action,status,net_anchor_price,end_trade_price,group_number
43,13716.950429330824,buy,complited,19176.0,13716.950429330824,1
44,13217.34221443463,buy,complited,19176.0,13217.34221443463,1
45,12735.931074003181,buy,complited,19176.0,12735.931074003181,1
46,12272.054221658667,buy,complited,19176.0,12272.054221658667,1
47,15364.476857398779,sell,complited,19176.0,15364.476857398779,1
48,14804.861300348655,sell,complited,19176.0,14804.861300348655,1
49,14265.628446504057,sell,complited,19176.0,14265.628446504057,1
50,13746.035903012014,sell,complited,19176.0,13746.035903012014,1
51,13245.36831696331,sell,complited,19176.0,13245.36831696331,1
52,12762.936390525014,sell,complited,19176.0,12762.936390525014,1
53,14785.824307158678,buy,complited,19176.0,14785.824307158678,1
54,14259.135955317031,buy,complited,19176.0,14259.135955317031,1
55,13751.208858458738,buy,complited,19176.0,13751.208858458738,1
56,13261.374718742543,buy,complited,19176.0,13261.374718742543,1
57,12788.989043877778,buy,complited,19176.0,12788.989043877778,1
58,12333.43029914282,buy,complited,19176.0,12333.43029914282,1
59,15377.257279445026,sell,complited,19176.0,15377.257279445026,1
60,14829.501393529714,sell,complited,19176.0,14829.501393529714,1
61,14301.257212797089,sell,complited,19176.0,14301.257212797089,1
62,13791.829707492245,sell,complited,19176.0,13791.829707492245,1
63,13300.54860563289,sell,complited,19176.0,13300.54860563289,1
64,12826.767511108532,sell,complited,19176.0,12826.767511108532,1
65,14751.86315598918,buy,aborted,19176.0,0.0,1
66,14193.708350633731,buy,aborted,19176.0,0.0,1
67,13656.6720157689,buy,aborted,19176.0,0.0,1
68,13139.955108205262,buy,aborted,19176.0,0.0,1
69,12642.78881753085,buy,aborted,19176.0,0.0,1
70,12164.433422217004,buy,aborted,19176.0,0.0,1
71,20004.54339015996,buy,complited,20764.52500535599,20004.54339015996,0
72,19272.377102080107,buy,complited,20764.52500535599,19272.377102080107,0
73,18567.008100143976,buy,complited,20764.52500535599,18567.008100143976,0
74,17887.455603678707,buy,complited,20764.52500535599,17887.455603678707,0
75,17232.774728584067,buy,complited,20764.52500535599,17232.774728584067,0
76,16602.05517351789,buy,complited,20764.52500535599,16602.05517351789,0
77,16005.319286193106,buy,complited,20764.52500535599,16005.319286193106,1
78,15430.032172258096,buy,complited,20764.52500535599,15430.032172258096,1
79,14875.422887833502,buy,complited,20764.52500535599,14875.422887833502,1
80,14340.748199457448,buy,complited,20764.52500535599,14340.748199457448,1
81,13825.291588076292,buy,complited,20764.52500535599,13825.291588076292,1
82,13328.362288835418,buy,complited,20764.52500535599,13328.362288835418,1
83,20804.72512576636,sell,complited,20764.52500535599,20804.72512576636,0
84,20043.27218616331,sell,complited,20764.52500535599,20043.27218616331,0
85,19309.688424149736,sell,complited,20764.52500535599,19309.688424149736,0
86,18602.953827825855,sell,complited,20764.52500535599,18602.953827825855,0
87,17922.08571772743,sell,complited,20764.52500535599,17922.08571772743,0
